"Hiragana","Kanji","English","Example","Translation"
"あう","会う","to meet","明日、友達と渋谷で会う約束があります。一緒に映画を見て、晩ご飯を食べるつもりです。","I have a plan to meet my friend in Shibuya tomorrow. We are going to watch a movie together and have dinner."
"あける","開ける","to open","朝、窓を開けると、気持ちの良い風が入ってきました。鳥のさえずりも聞こえて、一日が始まりました。","When I opened the window in the morning, a pleasant breeze came in. I could also hear the chirping of birds, and the day began."
"あげる","","to give","誕生日に、母は私に新しいスマートフォンをあげました。とても嬉しくて、感謝の気持ちでいっぱいです。","For my birthday, my mother gave me a new smartphone. I am very happy and full of gratitude."
"あそぶ","遊ぶ","to play, to socialize","週末は、公園で子供たちと遊ぶのが好きです。一緒にボールを蹴ったり、鬼ごっこをしたりして、楽しい時間を過ごします。","I like to play with my children in the park on weekends. We have fun kicking a ball together and playing tag."
"あつまる","集まる","to assemble","毎週土曜日の夜、友達が私の家に集まって、ゲームをしたり、おしゃべりをしたりします。とても楽しいです。","Every Saturday night, my friends gather at my house to play games and chat. It's a lot of fun."
"あつめる","集める","to collect","子供の頃、切手を集めるのが好きでした。色々な国の切手があって、とても面白かったです。","When I was a child, I liked to collect stamps. There were stamps from various countries, and it was very interesting."
"あらう","洗う","to wash","食事の後は、いつも自分で食器を洗います。綺麗になると気持ちが良いです。","After meals, I always wash the dishes myself. It feels good when they are clean."
"ある","","to be, to exist","私の部屋には、たくさんの本があります。小説や漫画、参考書など、色々な種類があります。","There are many books in my room. There are various types, such as novels, manga, and textbooks."
"あるく","歩く","to walk","毎日、会社まで歩いて行きます。運動になるし、景色を見るのも楽しいです。","I walk to work every day. It's good exercise and I enjoy seeing the scenery."
"いう","言う","to say","先生は、授業中に分からないことがあれば、遠慮せずに言ってくださいと言いました。","The teacher said that if we don't understand something during class, please don't hesitate to say so."
"いく","行く","to go","来月、京都へ旅行に行く予定です。美味しいものをたくさん食べたり、有名な場所を見たりするのが楽しみです。","I am planning to go on a trip to Kyoto next month. I am looking forward to eating a lot of delicious food and seeing famous places."
"いそぐ","急ぐ","to hurry","朝、寝坊してしまったので、学校へ行くのを急ぎました。遅刻しそうでした。","I overslept this morning, so I hurried to go to school. I was almost late."
"いる","","to be, to exist","冷蔵庫の中に、卵と牛乳とチーズがあります。これで朝ご飯を作ることができます。","There are eggs, milk, and cheese in the refrigerator. I can make breakfast with these."
"いれる","入れる","to put in","コーヒーに砂糖とミルクを入れます。甘くて美味しいコーヒーが好きです。","I put sugar and milk in my coffee. I like sweet and delicious coffee."
"うごく","動く","to move","この古い時計は、もう動きません。新しい電池が必要かもしれません。","This old clock doesn't move anymore. It might need a new battery."
